session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
606cfd513bf0a345e0f3a8d4,606be651a89a7baf6141e8b9,RETURNED,2021-04-07 00:31:16.706000,,145101.740293,24,12,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606cff96d699f803ebc3d538,5efbc4e26529bc16ab7711d1,AWAITING REVIEW,2021-04-07 00:40:57.534000,2021-04-07 01:40:40.018000,3582.484,20,128,1,100,,NOCODE,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Female,Yes
606cfff2d956c046c1cc0ffa,5f9f96c7ea7f965f92f5d488,AWAITING REVIEW,2021-04-07 00:42:28.898000,2021-04-07 01:29:35.132000,2826.234,23,216,1,100,,NOCODE,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Female,No
606d0034f4a71dbd7320675c,5f248a2f46a10507b20d9f17,AWAITING REVIEW,2021-04-07 00:43:41.683000,2021-04-07 01:13:37.374000,1795.691,24,152,1,100,,NOCODE,United States,United States,Part-Time,English,United States,Male,Yes
606d01729127ef58ceffebc1,5c7878854855980015a14a3c,AWAITING REVIEW,2021-04-07 00:56:26.460000,2021-04-07 01:44:29.661000,2883.201,22,764,3,100,,4A526F60,United Kingdom,Mexico,Part-Time,English,United States,Female,No
606d0350ffbfd0d260209112,5e6059d3ac8ca53ac1da480e,AWAITING REVIEW,2021-04-07 00:58:34.371000,2021-04-07 02:06:52.744000,4098.373,22,545,3,99,,4A526F60,United States,South Africa,Full-Time,English,United States,Male,Yes
606d04d6ce49c91d1a7236ac,5eccc23ef7f5db8a46167945,RETURNED,2021-04-07 01:03:21.016000,,143177.502907,24,188,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d058ea4d691333b2435c2,5e217a34e8ff3a469b5dfebc,AWAITING REVIEW,2021-04-07 01:06:27.776000,2021-04-07 01:56:09.188000,2981.412,23,403,4,99,,NOCODE,United States,United States,Full-Time,English,United States,Female,No
606d0629fb7c1d36b36ad460,5e7bc5a6b7838b1fb6f799c5,AWAITING REVIEW,2021-04-07 01:09:03.088000,2021-04-07 02:01:31.140000,3148.052,25,69,0,100,,NOCODE,United States,United States,Part-Time,English,United States,Female,No
606d07149a083f298177330b,5bef84ed4cdbdf000196a3f7,RETURNED,2021-04-07 01:12:54.760000,,142603.784118,19,127,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d085260f05e4ef7c49d92,5c4bc384b4f50700015dd0a3,RETURNED,2021-04-07 01:18:12.588000,,142285.956232,20,300,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d09456334760b541ef6f1,606925af4f008db88aad9e0a,AWAITING REVIEW,2021-04-07 01:22:19.927000,2021-04-07 01:46:27.400000,1447.473,21,5,0,100,,4A526F60,Guatemala,,Part-Time,,United States,Female,Yes
606d098971cf02093e5941d6,583236a96451d40001160ed4,AWAITING REVIEW,2021-04-07 01:23:24.508000,2021-04-07 02:25:38.013000,3733.505,23,439,3,100,,4A526F60,United States,United States,Other,English,United States,Male,No
