name,version,batch,status,tasks_finished,dur_mins,started,progressed,pid,hitId,trials,workerId,complete,assignmentId,profile,return
premium-troll,1,c,finished,3,8,2021-08-20 20:01:31.098,2021-08-20 20:08:09.531,13334,______,0,test01234_0MOLI,0,prolific_______,1,https://cri-datacap.org/surveys/?s=r5FyuQu4Uj
rested-lamprey,1,c,finished,3,9,2021-08-20 20:41:52.351,2021-08-20 20:48:44.275,13334,______,0,test01234_mBkvY_N3VrC,0,prolific_______,1,https://cri-datacap.org/surveys/?s=r5FyuQu4Uj
flowing-kite,1,d,finished,3,9,2021-08-23 14:35:50.758,2021-08-23 14:43:35.022,13334,______,0,test01234_EkyzT,0,prolific_______,1,https://cri-datacap.org/surveys/?s=r5FyuQu4Uj
deep-ghost,1,e,finished,3,13,2021-08-24 20:24:11.597,2021-08-24 20:37:00.361,13334,______,0,______,0,prolific_______,1,https://cri-datacap.org/surveys/?s=hICbUJxT6x
evident-toucan,1,e,finished,3,9,2021-08-24 21:21:27.600,2021-08-24 21:28:42.544,13334,______,0,______,0,prolific_______,1,______
arriving-llama,1,e,finished,3,9,2021-08-24 21:52:06.903,2021-08-24 21:58:57.150,13334,______,0,jd_test_03,0,prolific_______,1,https://cri-datacap.org/surveys/?s=HjBnK35x6i
delicate-lobster,1,e,finished,3,11,2021-08-24 22:22:34.840,2021-08-24 22:33:04.099,13334,______,0,jd_test_04,0,prolific_______,1,https://cri-datacap.org/surveys/?s=ANyDCVxbqU
happy-lionfish,1,e,finished,3,13,2021-08-25 13:35:45.733,2021-08-25 13:46:22.747,13334,______,0,test_gr_01,1,prolific_______,0,https://cri-datacap.org/surveys/?s=VCv2b6hoLG
in-doberman,1,f,finished,3,13,2021-08-25 16:14:50.632,2021-08-25 16:28:15.819,13334,______,0,20789,0,prolific_______,1,https://cri-datacap.org/surveys/?s=cuIWHka58Q
rich-sculpin,1,f,finished,3,13,2021-08-25 17:34:08.808,2021-08-25 17:45:26.493,13334,______,0,Wadsworth ,1,prolific_______,0,https://cri-datacap.org/surveys/?s=KKkShTSIWQ
