session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
6141192dd0ae33804f51cfa8,5ee8e28f8ebaec0b3e1d1b57,RETURNED,2021-09-14 21:50:37.292000,,64155.112618,19,53,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61411935e9f7a174879c8fcc,613eacdc01a113faeafcb9cd,TIMED-OUT,2021-09-14 21:50:47.680000,,64144.746399,22,2,0,100,,,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes
61411a82bb3043dfe2960d5a,6140e1974c9dae116f8dbcc4,AWAITING REVIEW,2021-09-14 21:56:23.443000,2021-09-14 22:43:06.456000,2803.013,23,12,0,100,,NOCODE,United States,United States,Full-Time,English,United States,Female,No
61411bb2bd96182ae0b029db,5caa8efdf9a1bd0001ada0de,AWAITING REVIEW,2021-09-14 22:01:27.131000,2021-09-14 23:00:58.341000,3571.21,23,323,2,100,,4A526F60,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
61411c355b541e14a54769db,6126a42c23eb50441fb8377f,AWAITING REVIEW,2021-09-14 22:03:36.801000,2021-09-14 23:09:44.480000,3967.679,20,12,0,100,,NOCODE,United States,United States,Part-Time,English,United States,Female,Yes
61411dc9ebb27c9a9ef17b0b,613ceb832d8738df617e7266,RETURNED,2021-09-14 22:10:33.829000,,62958.677998,22,0,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61411dd25b541e14a54769e9,5e710a6e93f2d201e2715cc0,RETURNED,2021-09-14 22:11:59.475000,,62873.049425,20,89,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61411fa20e443a745c449fe0,611d84aa571e4b3df927d008,RETURNED,2021-09-14 22:18:15.352000,,62497.189351,24,8,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61411fc0b8fc848f48129a1b,61400952ef88b35ae8a3dbae,AWAITING REVIEW,2021-09-14 22:20:24.785000,2021-09-14 23:00:37.697000,2412.912,20,3,0,100,,https://surveys.gobranded.com/users/register/97c836f5c86c0c7a8fc016b02,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes
61411fe24e7705e437b94b66,60ea163b919cfeb8f686f5c9,TIMED-OUT,2021-09-14 22:19:27.599000,,62424.975713,23,13,0,100,,,United States,United States,Other,English,United States,Female,No
61412012ad61292ceb5c4c68,610068e0cf2293e994184cf7,AWAITING REVIEW,2021-09-14 22:20:05.190000,2021-09-14 22:41:19.686000,1274.496,20,13,0,100,,NOCODE,United States,United States,Part-Time,English,United States,Female,Yes
61412029b8fc848f48129a20,610170b43418c37241084d4d,AWAITING REVIEW,2021-09-14 22:20:29.462000,2021-09-14 22:21:58.077000,88.615,19,14,0,100,,610170b43418c37241084d4d,DATA EXPIRED,United States,Part-Time,English,United States,Female,DATA EXPIRED
6141205354ffc81a64645056,610841e68872e8bf089d0a6b,AWAITING REVIEW,2021-09-14 22:21:57.597000,2021-09-14 22:41:46.011000,1188.414,18,1,0,100,,NOCODE,United States,United States,Full-Time,English,United States,Female,No
6141206e49f657b180fe2fa7,60fe3799642da04fc85c5dbc,AWAITING REVIEW,2021-09-14 22:21:36.965000,2021-09-14 23:34:22.397000,4365.432,18,17,0,100,,4A526F60,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes
614120a044837cea8ac5d3c6,60fce84af656452153c49663,RETURNED,2021-09-14 22:32:24.701000,,61647.95628,25,3,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
614121502093ade0e671d0a6,6111b0772abddb93c39f3737,AWAITING REVIEW,2021-09-14 22:25:23.492000,2021-09-14 23:43:56.359000,4712.867,19,10,0,100,,NOCODE,DATA EXPIRED,United States,DATA EXPIRED,Polish,United States,Female,DATA EXPIRED
614122b79fe5e4f09860c7ee,61088642e39b8fe0056a7cb3,RETURNED,2021-09-14 22:31:20.999000,,61711.690639,21,20,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
614123452253ed151564d3f9,60fcefe8618cbfe7ea808118,RETURNED,2021-09-14 22:33:45.205000,,61567.500781,22,22,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61412495a47f736004225e38,61077680055c4cbdddb24aae,AWAITING REVIEW,2021-09-14 22:39:21.476000,2021-09-15 00:05:09.528000,5148.052,24,21,0,100,,4A526F60,United States,United States,Unemployed (and job seeking),English,United States,Female,No
614125e271f5ebcd5735228d,60fd01ce2772fd04bc096067,RETURNED,2021-09-14 22:54:50.959000,,60301.792015,22,24,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
614126061f8f6974f2b248d9,612920969dd11ffbe0de83ad,AWAITING REVIEW,2021-09-14 22:45:38.884000,2021-09-15 00:07:13.220000,4894.336,25,2,0,100,,NOCODE,United States,United States,Part-Time,English,United States,Female,No
61412609cbb41d9df36dcf6c,614108f77f02135189a295ec,AWAITING REVIEW,2021-09-14 22:45:32.193000,2021-09-14 23:41:48.621000,3376.428,21,2,0,100,,NOCODE,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes
61412623d282bcc91b97a66d,5e9e09c90b07401b5b7dcd8b,AWAITING REVIEW,2021-09-14 22:45:58.482000,2021-09-14 23:35:01.611000,2943.129,21,89,0,100,,NOCODE,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6141262b28edfa4e282883ab,6140e85de611a8d1aa7ebc12,AWAITING REVIEW,2021-09-14 22:46:06.990000,2021-09-14 23:52:07.964000,3960.974,21,0,0,100,,4A526F60,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes
61412922d7ba068226fc1c69,612d2a4c1782eb6959e30029,TIMED-OUT,2021-09-14 22:58:45.098000,,60067.748026,21,12,0,100,,,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,Yes
614129304a272b1c8555038c,60fda91b12a5c6c683f2f9ca,AWAITING REVIEW,2021-09-14 22:58:58.935000,2021-09-14 23:57:18.428000,3499.493,24,1,0,100,,NOCODE,DATA EXPIRED,United States,Full-Time,English,United States,Female,No
6141298a7422261809eabfe7,609d9fe301f9ef27d7285081,AWAITING REVIEW,2021-09-14 23:00:42.763000,2021-09-14 23:53:45.692000,3182.929,21,4,0,100,,NOCODE,United States,United States,Full-Time,English,United States,Male,No
61412aa96c134aa1aa5a12cb,613d08ebdc5fd6eec95cfaf5,AWAITING REVIEW,2021-09-14 23:05:18.721000,2021-09-15 00:00:18.862000,3300.141,23,9,0,100,,https://cri-datacap.org/surveys/?sq=dm9srimwYq,United States,United States,Full-Time,English,United States,Female,No
61412bf1548b5f601d6f9f08,60f62766fa8bc58698d82b9f,RETURNED,2021-09-14 23:10:41.604000,,59351.31321,19,21,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61412c84cd0355d61df6960f,613d949034404ec91bee5e09,AWAITING REVIEW,2021-09-14 23:13:13.297000,2021-09-15 00:09:04.109000,3350.812,23,3,0,100,,4A526F60,United States,United States,Other,English,United States,Female,Yes
61412cdff13d4aec6ae6dbf1,613a57a3d918106d2061aa2b,AWAITING REVIEW,2021-09-14 23:14:44.004000,2021-09-15 00:31:20.425000,4596.421,18,17,0,100,,4A526F60,United States,Mexico,Unemployed (and job seeking),Spanish,United States,Male,Yes
61412cf8c289e9f3355f928f,613fc1503973ef3a8c896c6e,RETURNED,2021-09-14 23:15:07.652000,,59085.327275,24,13,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61412d0c2bf06e4686bcf364,613ea8344b072de7f3ccb5dc,RETURNED,2021-09-14 23:26:00.039000,,58432.955856,22,19,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61412dc7d9727ce04d050419,613927703e23f814407dc5c7,AWAITING REVIEW,2021-09-14 23:18:33.835000,2021-09-15 00:37:11.968000,4718.133,18,16,0,100,,4A526F60,United States,United States,Due to start a new job within the next month,English,United States,Male,Yes
61412dfc7d8b9944a2d800c2,60fde90f24f79c4471d0eb92,AWAITING REVIEW,2021-09-14 23:19:30.590000,2021-09-15 00:04:33.924000,2703.334,21,30,0,100,,NOCODE,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes
61412e9718dab0fcff48c3cf,60fcb64c52cb3e4c9ec0c76b,AWAITING REVIEW,2021-09-14 23:22:01.638000,2021-09-15 01:05:23.279000,6201.641,20,33,0,100,,4A526F60,United States,United States,Part-Time,English,United States,Female,Yes
61412ea09d36dec965787bee,60fde01b47075d0fd573d372,RETURNED,2021-09-14 23:33:00.025000,,58013.046941,19,19,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61412ee2f132740d028969b8,6122b675852a3137f09aee79,AWAITING REVIEW,2021-09-14 23:23:55.253000,2021-09-15 00:20:44.412000,3409.159,22,10,0,100,,NOCODE,United States,United States,Due to start a new job within the next month,English,United States,Male,No
61412ee5067301c5e025c32a,61047420224037253f952387,AWAITING REVIEW,2021-09-14 23:23:33.848000,2021-09-15 00:26:09.358000,3755.51,20,3,0,100,,NOCODE,United States,United States,Part-Time,English,United States,Female,Yes
61412ee94d04883084e42578,613fb7bb37e9fd4f268e0dd5,AWAITING REVIEW,2021-09-14 23:23:55.399000,2021-09-15 00:21:31.191000,3455.792,23,14,0,100,,NOCODE,United States,United States,Unemployed (and job seeking),English,United States,Male,No
