subid,profile,rating,image_name,trial,feedback,block
5b91ca0f8a79b000013f9481,INSTRUCTIONS,"[""instructions/instruct-ready.html""]",,,,
5b91ca0f8a79b000013f9481,INSTRUCTIONS,0,FinishInstructions,instructions/instruct-ready.html,,
5b91ca0f8a79b000013f9481,ation,2,chocolate3.png,1,2,2
5b91ca0f8a79b000013f9481,ation,7,parfait_2.png,2,4,2
5b91ca0f8a79b000013f9481,ation,0,chocolate_cake_1.png,3,3,2
5b91ca0f8a79b000013f9481,ation,7,pie3.png,4,3,2
5b91ca0f8a79b000013f9481,ation,10,pomegranate_01.png,5,2,2
5b91ca0f8a79b000013f9481,ation,4,domino_3.png,6,1,2
5b91ca0f8a79b000013f9481,ation,3,greens_07.png,7,2,2
5b91ca0f8a79b000013f9481,ation,4,berries_05.png,8,2,2
5b91ca0f8a79b000013f9481,ation,1,apple_4.png,9,1,2
5b91ca0f8a79b000013f9481,ation,4,camera_4.png,10,2,2
5b91ca0f8a79b000013f9481,ation,3,piano_4.png,11,8,2
5b91ca0f8a79b000013f9481,ation,6,sandwich_2.png,12,4,2
5b91ca0f8a79b000013f9481,ation,7,chips_02.png,13,2,2
5b91ca0f8a79b000013f9481,ation,10,mikado_3.png,14,1,2
5b91ca0f8a79b000013f9481,ation,3,pencil_2.png,15,2,2
5b91ca0f8a79b000013f9481,ation,5,muffin2.png,16,3,2
5b91ca0f8a79b000013f9481,ation,8,violin_2.png,17,7,2
5b91ca0f8a79b000013f9481,ation,7,cone_1.png,18,2,2
5b91ca0f8a79b000013f9481,ation,4,soup_03.png,19,4,2
5b91ca0f8a79b000013f9481,ation,7,bike_05.png,20,10,2
5b91ca0f8a79b000013f9481,ation,9,oil_5.png,21,3,2
5b91ca0f8a79b000013f9481,ation,7,beads_4.png,22,1,2
5b91ca0f8a79b000013f9481,ation,7,sandwich_5.png,23,2,2
5b91ca0f8a79b000013f9481,ation,8,wrap_02.png,24,5,2
5b91ca0f8a79b000013f9481,ation,6,roller_skates_02.png,25,4,2
5b91ca0f8a79b000013f9481,ation,7,fitness_07.png,26,9,2
5b91ca0f8a79b000013f9481,ation,8,shrimp_02.png,27,2,2
5b91ca0f8a79b000013f9481,ation,8,skateboard_06.png,28,5,2
5b91ca0f8a79b000013f9481,ation,8,pizza_05.png,29,4,2
5b91ca0f8a79b000013f9481,ation,8,yarn_5.png,30,2,2
5b91ca0f8a79b000013f9481,ation,3,frisbee_5.png,31,3,2
5b91ca0f8a79b000013f9481,ation,4,cookie3.png,32,2,2
5b91ca0f8a79b000013f9481,ation,7,greens_06.png,33,2,2
5b91ca0f8a79b000013f9481,ation,4,salmon.png,34,4,2
5b91ca0f8a79b000013f9481,ation,5,burger_4.png,35,5,2
5b91ca0f8a79b000013f9481,ation,8,drums_2.png,36,6,2
5b91ca0f8a79b000013f9481,ation,3,notebook_7.png,37,3,2
5b91ca0f8a79b000013f9481,ation,5,headphones_4.png,38,3,2
5b91ca0f8a79b000013f9481,ation,8,bowling_03.png,39,6,2
5b91ca0f8a79b000013f9481,ation,4,meat_01.png,40,2,2
5b91ca0f8a79b000013f9481,ation,7,record_4.png,41,3,2
5b91ca0f8a79b000013f9481,ation,4,pokerchips_3.png,42,1,2
5b91ca0f8a79b000013f9481,INSTRUCTIONS,"[""instructions/instruct-ready.html""]",,,,
5b91ca0f8a79b000013f9481,INSTRUCTIONS,0,FinishInstructions,instructions/instruct-ready.html,,
5b91ca0f8a79b000013f9481,soaf,5,chocolate6.png,1,1,1
5b91ca0f8a79b000013f9481,soaf,5,mac_cheese_01.png,2,2,1
5b91ca0f8a79b000013f9481,soaf,2,sandwich_3.png,3,5,1
5b91ca0f8a79b000013f9481,soaf,2,banana_2.png,4,4,1
5b91ca0f8a79b000013f9481,soaf,2,cookie1.png,5,2,1
5b91ca0f8a79b000013f9481,soaf,2,headphones_1.png,6,6,1
5b91ca0f8a79b000013f9481,soaf,7,chicken_3.png,7,7,1
5b91ca0f8a79b000013f9481,soaf,9,chips_01.png,8,3,1
5b91ca0f8a79b000013f9481,soaf,9,quinoa_01.png,9,5,1
