name,version,batch,status,tasks_finished,dur_mins,started,progressed,complete,assignmentId,hitId,trials,return,profile,workerId,pid
preview,4,,finished,3,3,2021-10-12 16:09:36.550,2021-10-12 18:12:48.380,,,,,,,,
clean-horse,4,a,finished,3,8,2021-10-12 16:36:35.576,2021-10-12 16:43:10.172,1,prolific_______,______,0,https://cri-datacap.org/surveys/?s=rsfyJqGxsb,0,______,13334
fluent-doe,4,a,finished,3,9,2021-10-12 18:28:30.680,2021-10-12 18:35:30.917,0,prolific_______,______,0,https://cri-datacap.org/surveys/?s=KtU3Ur7kEo,2,test_jd_01,13334
supreme-filly,4,a,finished,3,13,2021-10-13 16:30:25.145,2021-10-13 16:43:24.606,1,prolific_6165a5744ac311682252f608,61670371a61824cdf50a78e5,0,https://cri-datacap.org/surveys/?s=ECQfM9QcGF,0,6166e9bd55ad490ebde994ef,13334
neat-squid,4,a,finished,3,13,2021-10-13 16:43:55.929,2021-10-13 16:54:48.221,1,prolific_6165a5744ac311682252f608,6167064698e53625fd79b84c,0,https://cri-datacap.org/surveys/?s=IDTGZJUip5,0,6164ee388dad4e849278f9bc,13334
heroic-labrador,4,a,finished,3,13,2021-10-13 17:00:34.434,2021-10-13 17:13:12.722,0,prolific_6165a5744ac311682252f608,61670e24a0b01b8301816a76,0,https://cri-datacap.org/surveys/?s=8zSMdQpw4w,2,615f839a99cab83b20e24c64,13334
present-turtle,4,a,finished,3,13,2021-10-13 17:11:00.337,2021-10-13 17:23:34.377,0,prolific_6165a5744ac311682252f608,616710caeb77895e03b22658,0,https://cri-datacap.org/surveys/?s=UDx5XEt946,2,6167042496020e00ff1540f4,13334
charming-barnacle,4,a,finished,3,13,2021-10-13 17:11:51.236,2021-10-13 17:28:23.614,0,prolific_6165a5744ac311682252f608,6167036e4c0609dcf6f4394f,0,https://cri-datacap.org/surveys/?s=TEiWL5Qitk,2,60ff263eb5aec7c49a68ce19,13334
calm-buffalo,4,a,finished,3,13,2021-10-13 17:15:41.211,2021-10-13 17:27:10.604,0,prolific_6165a5744ac311682252f608,6167121a6844a43f305a10ae,0,https://cri-datacap.org/surveys/?s=iD2TaUewak,2,60ff056b0dbd43f316517dcc,13334
eminent-ocelot,4,a,finished,3,13,2021-10-13 17:28:33.067,2021-10-13 17:39:46.925,1,prolific_6165a5744ac311682252f608,61670fd3215f71f57ae35961,0,https://cri-datacap.org/surveys/?s=j6KzgcYsXR,0,615db3db89bfc1bd153d11f7,13334
intimate-moth,4,a,finished,3,13,2021-10-13 17:49:43.039,2021-10-13 18:01:59.264,1,prolific_6165a5744ac311682252f608,61670638196feb9ecf7f7923,0,https://cri-datacap.org/surveys/?s=mMeDeSRJXp,0,61114f5caa5a5ea8be510627,13334
legal-macaque,4,a,finished,3,13,2021-10-13 17:51:31.283,2021-10-13 18:03:55.966,0,prolific_6165a5744ac311682252f608,61671a52507e0ab39e48403a,0,https://cri-datacap.org/surveys/?s=pcr3nGvmb6,2,615bbe1b45c3c2e904778bce,13334
complete-skink,4,a,finished,3,13,2021-10-13 17:54:44.652,2021-10-13 18:09:12.664,0,prolific_6165a5744ac311682252f608,61671af5e60ed42c1b86429f,0,https://cri-datacap.org/surveys/?s=ddUJXI3NkA,2,60fceb754c76b655673eece6,13334
evolved-swine,4,a,finished,3,13,2021-10-13 18:12:23.628,2021-10-13 18:40:00.821,1,prolific_6165a5744ac311682252f608,616713a29f8a8f034766cd64,0,https://cri-datacap.org/surveys/?s=FwZzbpIeCa,0,5f5e742a9d8fb6106b4ff5d9,13334
