session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
616701b885f707ee7568e90c,61004303d1cd1f6c01483202,RETURNED,2021-10-13 16:06:40.584000,,91654.392656,20,4,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
616701ee37dc2dcabae15f6b,61621710c513826cd3025beb,AWAITING REVIEW,2021-10-13 15:57:45.417000,2021-10-13 16:21:46.200000,1440.783,20,2,0,100,,NOCODE,DATA EXPIRED,United States,DATA EXPIRED,DATA EXPIRED,United States,Male,DATA EXPIRED
6167028b1dc9ade13dc0d63a,616614f99a844d61090c38d3,RETURNED,2021-10-13 16:00:15.261000,,92039.749963,19,11,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6167036e4c0609dcf6f4394f,60ff263eb5aec7c49a68ce19,TIMED-OUT,2021-10-13 16:04:03.834000,,91811.195264,22,15,0,100,,,United States,United States,Unemployed (and job seeking),English,United States,Female,No
61670371a61824cdf50a78e5,6166e9bd55ad490ebde994ef,AWAITING REVIEW,2021-10-13 16:04:07.230000,2021-10-13 17:05:47.013000,3699.783,23,3,0,100,,4A526F60,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Male,Yes
61670638196feb9ecf7f7923,61114f5caa5a5ea8be510627,AWAITING REVIEW,2021-10-13 16:16:35.504000,2021-10-13 18:32:37.652000,8162.148,21,7,0,100,,NOCODE,India,United States,Part-Time,Malayalam,United States,Female,Yes
6167064698e53625fd79b84c,6164ee388dad4e849278f9bc,AWAITING REVIEW,2021-10-13 16:16:10.918000,2021-10-13 17:12:10.904000,3359.986,24,12,0,100,,4A526F60,United States,Mexico,Unemployed (and job seeking),Spanish,United States,Male,Yes
6167073b65ce2930d7184631,615ec956e3c3ec1f8f0ffd45,RETURNED,2021-10-13 16:20:22.111000,,90832.996678,21,13,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61670a801bd91b39faa3af58,6160807f3d79587b4ffd25b7,TIMED-OUT,2021-10-13 16:34:15.921000,,89999.209758,19,1,0,100,,,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,Yes
61670e24a0b01b8301816a76,615f839a99cab83b20e24c64,AWAITING REVIEW,2021-10-13 16:49:45.217000,2021-10-13 17:50:04.606000,3619.389,19,18,0,100,,NOCODE,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes
61670ef887aae59b1f226a53,60ff98a2cd131eb0944e13dc,RETURNED,2021-10-13 17:03:12.319000,,88262.854105,23,20,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61670fd3215f71f57ae35961,615db3db89bfc1bd153d11f7,RETURNED,2021-10-13 16:56:53.848000,,88641.343387,20,18,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
616710caeb77895e03b22658,6167042496020e00ff1540f4,AWAITING REVIEW,2021-10-13 17:01:06.053000,2021-10-13 18:09:19.627000,4093.574,23,6,0,100,,4A526F60,United States,United States,Unemployed (and job seeking),English,United States,Male,No
6167121a6844a43f305a10ae,60ff056b0dbd43f316517dcc,AWAITING REVIEW,2021-10-13 17:06:48.678000,2021-10-13 18:02:29.223000,3340.545,20,16,0,100,,NOCODE,United States,United States,Part-Time,English,United States,Female,No
616713a29f8a8f034766cd64,5f5e742a9d8fb6106b4ff5d9,AWAITING REVIEW,2021-10-13 17:13:09.753000,2021-10-13 18:54:52.342000,6102.589,22,35,1,99,,https://cri-datacap.org/surveys/?sq=jXgLLRXK2U,Puerto Rico,United States,Due to start a new job within the next month,Spanish,United States,Female,Yes
61671445c831704b4e8f5362,6126e3b4e26631eb6232b2bf,RETURNED,2021-10-13 17:25:49.296000,,86905.969643,19,17,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
616716c03e90173efd4ed20c,615d882d9c3ac82ff40a2876,RETURNED,2021-10-13 17:37:00.060000,,86235.223793,23,7,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61671a52507e0ab39e48403a,615bbe1b45c3c2e904778bce,AWAITING REVIEW,2021-10-13 17:41:40.720000,2021-10-13 18:40:02.775000,3502.055,18,41,1,99,,4A526F60,United States,United States,Unemployed (and job seeking),English,United States,Female,No
61671af5e60ed42c1b86429f,60fceb754c76b655673eece6,AWAITING REVIEW,2021-10-13 17:44:27.694000,2021-10-13 18:53:22.944000,4135.25,19,21,1,99,,NOCODE,United States,United States,Part-Time,English,United States,Female,Yes
61671c0fdcd952b615508b27,614cd9dba2dad462039739cf,RETURNED,2021-10-13 17:49:13.303000,,85502.04149,18,31,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61671dad69396e335b9a9b89,6155bb4f5250fc58f16eca99,AWAITING REVIEW,2021-10-13 17:56:01.365000,2021-10-13 20:16:51.279000,8449.914,25,49,1,99,,NOCODE,United States,United States,Full-Time,English,United States,Female,No
61671ef2dc40e863aba03ab3,6137ef976fe89fa509174788,AWAITING REVIEW,2021-10-13 18:01:49.782000,2021-10-13 19:13:07.889000,4278.107,24,14,0,100,,NOCODE,United States,United States,DATA EXPIRED,English,United States,Male,No
6167202a557a6a3f6da1b6cf,6106f7942945f9ac949ccc0b,AWAITING REVIEW,2021-10-13 18:13:44.686000,2021-10-13 19:18:45.440000,3900.754,21,21,0,100,,4A526F60,United States,United States,Part-Time,English,United States,Female,Yes
6167204795031412a05d4d3f,5edbfd2c7bdc7e7e3201d6fb,RETURNED,2021-10-13 18:07:09.440000,,84425.988013,22,310,3,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
616723f87d4d2d6729abae07,614b30b7d19c5b30c7a40ada,RETURNED,2021-10-13 18:22:50.858000,,83484.589402,18,49,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6167240066535edb515fc73d,61502f40011a858cafe6d3b5,AWAITING REVIEW,2021-10-13 18:23:01.180000,2021-10-13 19:25:56.925000,3775.745,22,2,1,94,,4A526F60,United States,United States,Other,English,United States,Female,Yes
