gender,condition,mean
1,0,2.66666666666667
1,0,2.42857142857143
2,0,2.52380952380952
2,0,2.23809523809524
2,0,3.21428571428571
2,0,3
2,0,2.23809523809524
2,0,3.07142857142857
2,0,2.14285714285714
2,0,3.16666666666667
2,0,2.64285714285714
3,0,2.26190476190476
2,0,1.85714285714286
2,0,2.85714285714286
2,0,2.21428571428571
1,0,1.64285714285714
2,0,1.88095238095238
2,0,2.52380952380952
2,0,1.42857142857143
2,0,2.42857142857143
2,0,1.61904761904762
1,0,2.33333333333333
2,0,2.92857142857143
2,0,2.16666666666667
2,0,2.78571428571429
1,0,1.78571428571429
2,0,2.95238095238095
2,0,2.45238095238095
2,0,3.23809523809524
2,0,2.04761904761905
2,0,2.26190476190476
2,0,2.33333333333333
1,0,1.83333333333333
1,0,3.07142857142857
2,0,2.95238095238095
3,0,2.07142857142857
1,0,2.28571428571429
2,0,2.71428571428571
2,0,3.61904761904762
2,0,2.16666666666667
2,0,2.4047619047619
1,0,2.45238095238095
1,0,2.71428571428571
2,0,2.85714285714286
1,0,2.30952380952381
2,0,2.78571428571429
2,0,2.4047619047619
2,0,1.73809523809524
2,0,1.73809523809524
2,0,2.85714285714286
2,0,2.21428571428571
2,0,1.4047619047619
2,0,2.57142857142857
2,0,2.38095238095238
2,0,1.76190476190476
2,0,2.21428571428571
2,0,2.11904761904762
2,0,2.26190476190476
2,0,2.21428571428571
2,0,2.02380952380952
1,0,2.0952380952381
2,0,2.73809523809524
1,0,2.19047619047619
2,0,1.64285714285714
1,0,2.14285714285714
2,0,3.14285714285714
2,0,2.26190476190476
1,0,2.16666666666667
2,0,2.26190476190476
3,0,2.33333333333333
2,0,3.26190476190476
2,0,2.78571428571429
1,0,1.69047619047619
1,0,2.54761904761905
2,0,2.38095238095238
2,0,2.80952380952381
3,0,1.66666666666667
2,0,2.73809523809524
1,0,2.45238095238095
2,0,2.33333333333333
1,0,2.07142857142857
1,0,2.42857142857143
1,1,2.95238095238095
1,1,1.97619047619048
2,1,1.66666666666667
2,1,1.73809523809524
2,1,3.07142857142857
2,1,2.71428571428571
2,1,2.64285714285714
2,1,2.38095238095238
2,1,1.52380952380952
2,1,3.0952380952381
2,1,2.11904761904762
3,1,2.02380952380952
2,1,1.80952380952381
2,1,2.16666666666667
2,1,2.33333333333333
1,1,1.78571428571429
2,1,2.16666666666667
2,1,1.5952380952381
2,1,1.57142857142857
2,1,2.02380952380952
2,1,1.61904761904762
1,1,2.33333333333333
2,1,2.92857142857143
2,1,2.16666666666667
2,1,2.78571428571429
1,1,1.78571428571429
2,1,2.95238095238095
2,1,2.45238095238095
2,1,3.23809523809524
2,1,2.04761904761905
2,1,2.26190476190476
2,1,2.33333333333333
1,1,1.83333333333333
1,1,3.07142857142857
2,1,2.95238095238095
3,1,2.07142857142857
1,1,2.28571428571429
2,1,2.71428571428571
2,1,3.61904761904762
2,1,2.16666666666667
2,1,2.4047619047619
1,1,2.45238095238095
1,1,2.71428571428571
2,1,2.85714285714286
1,1,2.30952380952381
2,1,2.78571428571429
2,1,2.4047619047619
2,1,1.73809523809524
2,1,1.73809523809524
2,1,2.85714285714286
2,1,2.21428571428571
2,1,1.4047619047619
2,1,2.57142857142857
2,1,2.38095238095238
2,1,1.76190476190476
2,1,2.21428571428571
2,1,2.11904761904762
2,1,2.26190476190476
2,1,2.21428571428571
2,1,2.02380952380952
1,1,2.0952380952381
2,1,2.73809523809524
1,1,2.19047619047619
2,1,1.64285714285714
1,1,2.14285714285714
2,1,3.14285714285714
2,1,2.26190476190476
1,1,2.16666666666667
2,1,2.26190476190476
3,1,2.33333333333333
2,1,3.26190476190476
2,1,2.78571428571429
1,1,1.69047619047619
1,1,2.54761904761905
2,1,2.38095238095238
2,1,2.80952380952381
3,1,1.66666666666667
2,1,2.73809523809524
1,1,2.85714285714286
2,1,2.76190476190476
1,1,1.95238095238095
1,1,2.5952380952381
