subid,gender,condition,error,trial
1,1,0,4,1
1,1,0,3,2
1,1,0,3,3
1,1,0,2,4
1,1,0,0,5
1,1,0,4,6
1,1,0,0,7
1,1,0,6,8
1,1,0,4,9
1,1,0,6,10
1,1,0,4,11
1,1,0,6,12
1,1,0,2,13
1,1,0,1,14
1,1,0,5,15
1,1,0,1,16
1,1,0,1,17
1,1,0,2,18
1,1,0,1,19
1,1,0,3,20
1,1,0,3,21
1,1,0,1,22
1,1,0,3,23
1,1,0,1,24
1,1,0,7,25
1,1,0,2,26
1,1,0,5,27
1,1,0,2,28
1,1,0,1,29
1,1,0,3,30
1,1,0,1,31
1,1,0,2,32
1,1,0,6,33
1,1,0,2,34
1,1,0,1,35
1,1,0,4,36
1,1,0,2,37
1,1,0,0,38
1,1,0,0,39
1,1,0,4,40
1,1,0,0,41
1,1,0,4,42
2,1,0,3,1
2,1,0,2,2
2,1,0,3,3
2,1,0,1,4
2,1,0,3,5
2,1,0,2,6
2,1,0,4,7
2,1,0,7,8
2,1,0,3,9
2,1,0,4,10
2,1,0,2,11
2,1,0,0,12
2,1,0,3,13
2,1,0,2,14
2,1,0,1,15
2,1,0,1,16
2,1,0,8,17
2,1,0,3,18
2,1,0,4,19
2,1,0,0,20
2,1,0,1,21
2,1,0,3,22
2,1,0,0,23
2,1,0,3,24
2,1,0,1,25
2,1,0,2,26
2,1,0,3,27
2,1,0,4,28
2,1,0,0,29
2,1,0,5,30
2,1,0,1,31
2,1,0,1,32
2,1,0,0,33
2,1,0,4,34
2,1,0,0,35
2,1,0,1,36
2,1,0,3,37
2,1,0,3,38
2,1,0,2,39
2,1,0,5,40
2,1,0,0,41
2,1,0,4,42
3,2,0,7,1
3,2,0,0,2
3,2,0,2,3
3,2,0,2,4
3,2,0,1,5
3,2,0,1,6
3,2,0,1,7
3,2,0,2,8
3,2,0,2,9
3,2,0,3,10
3,2,0,2,11
3,2,0,1,12
3,2,0,1,13
3,2,0,2,14
3,2,0,2,15
3,2,0,1,16
3,2,0,1,17
3,2,0,3,18
3,2,0,1,19
3,2,0,3,20
3,2,0,0,21
3,2,0,1,22
3,2,0,0,23
3,2,0,0,24
3,2,0,1,25
3,2,0,0,26
3,2,0,3,27
3,2,0,1,28
3,2,0,1,29
3,2,0,1,30
3,2,0,6,31
3,2,0,2,32
3,2,0,3,33
3,2,0,2,34
3,2,0,0,35
3,2,0,3,36
3,2,0,1,37
3,2,0,1,38
3,2,0,2,39
3,2,0,0,40
3,2,0,0,41
3,2,0,2,42
4,2,0,4,1
4,2,0,2,2
4,2,0,2,3
4,2,0,1,4
4,2,0,6,5
4,2,0,5,6
4,2,0,0,7
4,2,0,1,8
4,2,0,3,9
4,2,0,0,10
4,2,0,3,11
4,2,0,2,12
4,2,0,3,13
4,2,0,2,14
4,2,0,2,15
4,2,0,0,16
4,2,0,2,17
4,2,0,1,18
4,2,0,5,19
4,2,0,3,20
4,2,0,5,21
4,2,0,6,22
4,2,0,1,23
4,2,0,2,24
4,2,0,1,25
4,2,0,1,26
4,2,0,1,27
4,2,0,2,28
4,2,0,6,29
4,2,0,5,30
4,2,0,2,31
4,2,0,1,32
4,2,0,1,33
4,2,0,1,34
4,2,0,0,35
4,2,0,2,36
4,2,0,2,37
4,2,0,5,38
4,2,0,1,39
4,2,0,1,40
4,2,0,2,41
4,2,0,3,42
5,2,0,2,1
5,2,0,1,2
5,2,0,3,3
5,2,0,3,4
5,2,0,2,5
5,2,0,5,6
5,2,0,2,7
5,2,0,4,8
5,2,0,3,9
5,2,0,3,10
5,2,0,4,11
5,2,0,3,12
5,2,0,1,13
5,2,0,1,14
5,2,0,4,15
5,2,0,2,16
5,2,0,8,17
5,2,0,5,18
5,2,0,1,19
5,2,0,3,20
5,2,0,1,21
5,2,0,0,22
5,2,0,1,23
5,2,0,4,24
5,2,0,3,25
5,2,0,4,26
5,2,0,5,27
5,2,0,7,28
5,2,0,1,29
5,2,0,3,30
5,2,0,2,31
5,2,0,6,32
5,2,0,3,33
5,2,0,2,34
5,2,0,2,35
5,2,0,4,36
5,2,0,3,37
5,2,0,2,38
5,2,0,2,39
5,2,0,1,40
5,2,0,6,41
5,2,0,1,42
6,2,0,2,1
6,2,0,2,2
6,2,0,1,3
6,2,0,1,4
6,2,0,3,5
6,2,0,2,6
6,2,0,8,7
6,2,0,3,8
6,2,0,1,9
6,2,0,0,10
6,2,0,7,11
6,2,0,3,12
6,2,0,3,13
6,2,0,2,14
6,2,0,0,15
6,2,0,0,16
6,2,0,2,17
6,2,0,3,18
6,2,0,1,19
6,2,0,2,20
6,2,0,2,21
6,2,0,2,22
6,2,0,4,23
6,2,0,2,24
6,2,0,2,25
6,2,0,5,26
6,2,0,2,27
6,2,0,2,28
6,2,0,3,29
6,2,0,2,30
6,2,0,0,31
6,2,0,1,32
6,2,0,5,33
6,2,0,2,34
6,2,0,1,35
6,2,0,2,36
6,2,0,0,37
6,2,0,2,38
6,2,0,3,39
6,2,0,0,40
6,2,0,0,41
6,2,0,3,42
7,2,0,7,1
7,2,0,8,2
7,2,0,7,3
7,2,0,3,4
7,2,0,1,5
7,2,0,0,6
7,2,0,4,7
7,2,0,3,8
7,2,0,2,9
7,2,0,6,10
7,2,0,3,11
7,2,0,5,12
7,2,0,1,13
7,2,0,2,14
7,2,0,0,15
7,2,0,4,16
7,2,0,2,17
7,2,0,1,18
7,2,0,2,19
7,2,0,2,20
7,2,0,2,21
7,2,0,5,22
7,2,0,1,23
7,2,0,2,24
7,2,0,7,25
7,2,0,5,26
7,2,0,3,27
7,2,0,5,28
7,2,0,0,29
7,2,0,0,30
7,2,0,1,31
7,2,0,4,32
7,2,0,2,33
7,2,0,1,34
7,2,0,4,35
7,2,0,2,36
7,2,0,0,37
7,2,0,5,38
7,2,0,1,39
7,2,0,3,40
7,2,0,0,41
7,2,0,1,42
8,2,0,3,1
8,2,0,0,2
8,2,0,0,3
8,2,0,2,4
8,2,0,4,5
8,2,0,3,6
8,2,0,2,7
8,2,0,0,8
8,2,0,2,9
8,2,0,2,10
8,2,0,1,11
8,2,0,2,12
8,2,0,3,13
8,2,0,2,14
8,2,0,5,15
8,2,0,2,16
8,2,0,1,17
8,2,0,0,18
8,2,0,2,19
8,2,0,3,20
8,2,0,2,21
8,2,0,6,22
8,2,0,2,23
8,2,0,1,24
8,2,0,4,25
8,2,0,3,26
8,2,0,1,27
8,2,0,1,28
8,2,0,2,29
8,2,0,2,30
8,2,0,3,31
8,2,0,3,32
8,2,0,0,33
8,2,0,1,34
8,2,0,0,35
8,2,0,3,36
8,2,0,1,37
8,2,0,0,38
8,2,0,0,39
8,2,0,1,40
8,2,0,0,41
8,2,0,0,42
9,2,0,3,1
9,2,0,3,2
9,2,0,4,3
9,2,0,1,4
9,2,0,4,5
9,2,0,1,6
9,2,0,1,7
9,2,0,7,8
9,2,0,2,9
9,2,0,2,10
9,2,0,6,11
9,2,0,5,12
9,2,0,2,13
9,2,0,2,14
9,2,0,3,15
9,2,0,4,16
9,2,0,7,17
9,2,0,4,18
9,2,0,1,19
9,2,0,1,20
9,2,0,4,21
9,2,0,4,22
9,2,0,4,23
9,2,0,3,24
9,2,0,1,25
9,2,0,4,26
9,2,0,0,27
9,2,0,4,28
9,2,0,1,29
9,2,0,3,30
9,2,0,0,31
9,2,0,4,32
9,2,0,5,33
9,2,0,1,34
9,2,0,3,35
9,2,0,4,36
9,2,0,3,37
9,2,0,1,38
9,2,0,2,39
9,2,0,4,40
9,2,0,1,41
9,2,0,5,42
10,2,0,3,1
10,2,0,1,2
10,2,0,1,3
10,2,0,3,4
10,2,0,0,5
10,2,0,2,6
10,2,0,3,7
10,2,0,2,8
10,2,0,4,9
10,2,0,1,10
10,2,0,2,11
10,2,0,2,12
10,2,0,5,13
10,2,0,1,14
10,2,0,3,15
10,2,0,3,16
10,2,0,5,17
10,2,0,2,18
10,2,0,2,19
10,2,0,6,20
10,2,0,1,21
10,2,0,2,22
10,2,0,2,23
10,2,0,0,24
10,2,0,4,25
10,2,0,3,26
10,2,0,4,27
10,2,0,1,28
10,2,0,4,29
10,2,0,2,30
10,2,0,2,31
10,2,0,3,32
10,2,0,6,33
10,2,0,2,34
10,2,0,2,35
10,2,0,5,36
10,2,0,0,37
10,2,0,2,38
10,2,0,0,39
10,2,0,4,40
