Var1,clr,lrg,Var4
pizza_03,9,2,0
yarn_5,10,1,0
wrap_02,10,2,0
violin_2,1,3,0
tart1,4,3,0
accordion_2,3,6,0
apple_2,1,1,0
apple_4,2,1,0
asian_05,6,2,0
bagel_4,2,2,0
ball_05,2,3,0
beads_3,10,1,0
beads_4,10,1,0
bike_04,1,6,0
bike_05,5,6,0
bike_06,8,6,0
binocular_02,2,2,0
bowling_03,2,2,0
burger_4,10,2,0
chocolate_cake_1,8,2,0
cam_corder_3,2,3,0
camera_3,1,5,0
camera_4,2,2,0
candy_2,4,1,0
chicken_3,10,3,0
chips_01,1,2,0
chips_02,2,1,0
chocolate_2,2,1,0
chocolate3,1,1,0
chocolate6,1,1,0
cone_1,9,4,0
cookie1,1,3,0
cookie3,3,1,0
cube_2,9,1,0
cupcake,3,1,0
dice_4,1,1,0
drums_2,3,7,0
fitness_04,1,10,0
fitness_07,1,10,0
frisbee_4,4,2,0
frisbee_5,3,2,0
green_beans_1,1,2,0
greens_01,1,2,0
greens_07,1,1,0
guitar_5,2,7,0
headphones_1,2,2,0
headphones_4,3,2,0
roller_skates_01,1,3,0
mac_cheese_01,3,3,0
meat_01,5,3,0
muffin2,1,1,0
oil_1,10,3,0
oil_5,10,3,0
paper_3,10,2,0
parfait_2,10,2,0
pencil_2,10,1,0
piano_3,3,10,0
pizza_05,3,3,0
pomegranate_01,3,2,0
quinoa_01,9,2,0
radio_3,3,4,0
record_4,3,4,0
ribbon_4,8,3,0
roller_skates_02,4,4,0
salmon,7,2,0
sandwich_2,8,2,0
sandwich_5,6,2,0
shrimp_02,10,3,0
skateboard_06,8,5,0
fitness_08,2,10,0
piano_4,2,10,0
helicopter_1,4,3,0
burger_01,1,2,0
sandwich_3,7,2,0
bacon_2,2,1,0
banana_2,2,2,0
berries_4,5,1,0
chess_4,3,2,0
domino_3,2,1,0
greens_06,1,1,0
ice_skates_6,2,3,0
microscope_3,2,3,0
pokerchips_3,10,1,0
snorkling_3,2,2,0
mikado_3,8,1,0
pie3,7,2,0
soup_03,7,1,0
notebook_6,8,3,0
notebook_7,8,2,0
berries_05,2,2,0
pizza_03,2,5,0
yarn_5,7,2,0
wrap_02,4,3,0
violin_2,1,4,0
tart1,2,2,0
accordion_2,2,6,0
apple_2,1,1,0
apple_4,1,1,0
asian_05,2,2,0
bagel_4,1,1,0
ball_05,2,2,0
beads_3,9,1,0
beads_4,8,1,0
bike_04,1,6,0
bike_05,2,5,0
bike_06,4,5,0
binocular_02,1,2,0
bowling_03,1,2,0
burger_4,3,2,0
chocolate_cake_1,1,2,0
cam_corder_3,1,2,0
camera_3,1,2,0
camera_4,1,5,0
candy_2,2,1,0
chicken_3,2,2,0
chips_01,1,2,0
chips_02,1,2,0
chocolate_2,1,2,0
chocolate3,1,1,0
chocolate6,1,1,0
cone_1,4,1,0
cookie1,1,1,0
cookie3,1,1,0
cube_2,5,2,0
cupcake,2,1,0
dice_4,1,1,0
drums_2,2,5,0
fitness_04,1,8,0
fitness_07,1,8,0
frisbee_4,3,2,0
frisbee_5,2,2,0
green_beans_1,2,1,0
greens_01,2,1,0
greens_07,2,1,0
guitar_5,2,5,0
headphones_1,2,4,0
headphones_4,2,4,0
roller_skates_01,1,3,0
mac_cheese_01,1,2,0
meat_01,2,3,0
muffin2,1,2,0
oil_1,5,4,0
oil_5,4,2,0
paper_3,7,2,0
parfait_2,4,3,0
pencil_2,9,2,0
piano_3,1,7,0
pizza_05,1,3,0
pomegranate_01,2,2,0
quinoa_01,3,3,0
radio_3,1,3,0
record_4,1,3,0
ribbon_4,5,1,0
roller_skates_02,4,4,0
salmon,2,3,0
sandwich_2,3,3,0
sandwich_5,1,2,0
shrimp_02,4,3,0
skateboard_06,4,5,0
fitness_08,1,8,0
piano_4,1,8,0
helicopter_1,4,4,0
burger_01,1,2,0
sandwich_3,3,2,0
bacon_2,1,2,0
banana_2,2,1,0
berries_4,3,1,0
chess_4,1,2,0
domino_3,1,2,0
greens_06,2,3,0
ice_skates_6,1,4,0
microscope_3,1,4,0
pokerchips_3,5,1,0
snorkling_3,2,2,0
mikado_3,6,2,0
pie3,1,2,0
soup_03,2,2,0
notebook_6,5,2,0
notebook_7,7,3,0
berries_05,2,1,0
pizza_03,7,5,0
yarn_5,9,5,0
wrap_02,9,3,0
violin_2,2,5,0
tart1,4,6,0
accordion_2,3,8,0
apple_2,3,3,0
apple_4,3,3,0
asian_05,3,2,0
bagel_4,2,2,0
ball_05,4,4,0
beads_3,10,3,0
beads_4,8,1,0
bike_04,3,4,0
bike_05,5,8,0
bike_06,3,7,0
binocular_02,5,4,0
bowling_03,2,2,0
burger_4,4,2,0
chocolate_cake_1,2,2,0
cam_corder_3,1,4,0
camera_3,2,5,0
camera_4,3,3,0
candy_2,8,2,0
chicken_3,9,3,0
chips_01,5,2,0
chips_02,2,2,0
chocolate_2,2,2,0
chocolate3,2,2,0
chocolate6,2,2,0
cone_1,8,2,0
cookie1,2,2,0
cookie3,2,2,0
cube_2,10,2,0
cupcake,8,2,0
dice_4,2,2,0
drums_2,2,8,0
fitness_04,1,10,0
fitness_07,2,9,0
frisbee_4,8,2,0
frisbee_5,9,2,0
green_beans_1,2,2,0
greens_01,2,2,0
greens_07,2,2,0
guitar_5,3,9,0
headphones_1,9,3,0
headphones_4,2,6,0
roller_skates_01,6,4,0
mac_cheese_01,2,2,0
meat_01,6,6,0
muffin2,2,2,0
oil_1,9,3,0
oil_5,8,5,0
paper_3,10,2,0
parfait_2,9,3,0
pencil_2,9,3,0
piano_3,1,10,0
pizza_05,3,3,0
pomegranate_01,2,2,0
quinoa_01,2,2,0
radio_3,2,2,0
record_4,2,2,0
ribbon_4,10,3,0
roller_skates_02,9,3,0
salmon,9,3,0
sandwich_2,9,3,0
sandwich_5,3,2,0
shrimp_02,9,2,0
skateboard_06,9,2,0
fitness_08,2,8,0
piano_4,3,10,0
helicopter_1,3,5,0
burger_01,2,2,0
sandwich_3,9,3,0
bacon_2,1,1,0
banana_2,2,2,0
berries_4,9,2,0
chess_4,1,1,0
domino_3,1,1,0
greens_06,1,1,0
ice_skates_6,1,1,0
microscope_3,1,5,0
pokerchips_3,10,2,0
snorkling_3,1,1,0
mikado_3,10,2,0
pie3,2,2,0
soup_03,2,2,0
notebook_6,10,2,0
notebook_7,10,2,0
berries_05,3,3,0
pizza_03,7,4,0
yarn_5,8,2,0
wrap_02,7,2,0
violin_2,2,4,0
tart1,1,1,0
accordion_2,3,7,0
apple_2,4,1,0
apple_4,1,1,0
asian_05,2,2,0
bagel_4,1,1,0
ball_05,3,3,0
beads_3,9,2,0
beads_4,10,1,0
bike_04,1,8,0
bike_05,3,8,0
bike_06,2,9,0
binocular_02,3,2,0
bowling_03,1,2,0
burger_4,4,2,0
chocolate_cake_1,1,1,0
cam_corder_3,1,3,0
camera_3,1,3,0
camera_4,2,2,0
candy_2,3,1,0
chicken_3,3,1,0
chips_01,1,1,0
chips_02,2,1,0
chocolate_2,1,1,0
chocolate3,1,1,0
chocolate6,1,1,0
cone_1,3,2,0
cookie1,1,1,0
cookie3,1,1,0
cube_2,5,2,0
cupcake,2,1,0
dice_4,1,1,0
drums_2,2,7,0
fitness_04,1,10,0
fitness_07,1,10,0
frisbee_4,4,2,0
frisbee_5,3,2,0
green_beans_1,1,1,0
greens_01,2,1,0
greens_07,2,1,0
