old,new ,convert
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
25,24,1
27,25,2
28,26,2
29,27,2
30,28,2
31,29,2
32,30,2
33,31,2
34,32,2
35,33,2
38,34,4
41,35,6
42,36,6
43,37,6
44,38,6
45,39,6
46,40,6
47,41,6
49,42,7
79,43,36
80,44,36
81,45,36
82,46,36
83,47,36
84,48,36
85,49,36
86,50,36
87,51,36
88,52,36
89,53,36
90,54,36
91,55,36
92,56,36
93,57,36
94,58,36
95,59,36
96,60,36
97,61,36
98,62,36
99,63,36
100,64,36
101,65,36
102,66,36
103,67,36
104,68,36
105,69,36
106,70,36
107,71,36
108,72,36
109,73,36
110,74,36
111,75,36
112,76,36
113,77,36
114,78,36
115,79,36
116,80,36
117,81,36
118,82,36
119,83,36
120,84,36
